20260924233933243|Drive/Heading|Double|179.98726753412015|5e5afb3c1c56fea403d53a1aa6292837
20260924233933244|Drive/Pose X|Double|2.363537173377955|14072ccb3b32a2b255044de691daf2de
20260924233933245|Drive/Pose Y|Double|5.980699479026846|48badcd47ea9370e8dd85accd4b249ad
20260924233933357|Drive/Heading|Double|179.9845209520889|7a9e26b00cc54a86a1e674eb7b9228f4
20260924233933358|Drive/Pose X|Double|2.2453599845839265|7fcd60d0dc107f5eabab90fffc51fdeb
20260924233933359|Drive/Pose Y|Double|5.980728554721147|ba11e01d00906b09d4c3bb8ac6c35f26
20260924233933470|Drive/Heading|Double|179.97628120599515|3f50e0c246de2636b4f5ed9e5f40edab
20260924233933472|Drive/Pose X|Double|2.1339385872995447|f99f5aafc9aef99ba8677f5bf717d9f9
20260924233933472|Drive/Pose Y|Double|5.980765452017082|1165be5c866c74b3bb26911a4baa3171
20260924233933586|Drive/Pose X|Double|2.020399870343658|a973a31a14f8fee86af3917090cf9ce3
20260924233933587|Drive/Pose Y|Double|5.980812453761639|ef11592308627d932b217ce8f7251c78
20260924233933700|Drive/Pose X|Double|1.908149009640851|9f54c4c6b7bdbf4fe2f55ca969f151fe
20260924233933701|Drive/Pose Y|Double|5.98085892237096|56a17b1c79d29c77a1ada6e0bff26282
20260924233933815|Drive/Pose X|Double|1.7937262557654765|67da5af179be9f7c6141b0c7d2448bf2
20260924233933816|Drive/Pose Y|Double|5.98090629008123|4e7a2b0d1409bcad2d7bf6badee0ac94
20260924233933931|Drive/Pose X|Double|1.6785940895473035|aafcb41350c1f09c99faf367141604da
20260924233933932|Drive/Pose Y|Double|5.98095395146769|5323f938955dfd309fc16b067a2a75c5
20260924233934044|Drive/Heading|Double|179.98177437005765|31717769d989482c5a98ce43f2c8d3b4
20260924233934045|Drive/Pose X|Double|1.562970790429502|1933554abbdbe9c0e455a53429138ac1
20260924233934046|Drive/Pose Y|Double|5.980998494728136|94ae60759c35aea45fac78a2ddbd015b
20260924233934159|Drive/Pose X|Double|1.4474457148596482|aaa208bca543810372bf608b0849c790
20260924233934160|Drive/Pose Y|Double|5.981035242938307|74723142b8de09c0b7e545242ec4f826
20260924233934276|Drive/Heading|Double|179.9845209520889|e1bfef07ebfcefb3552e57a19451d056
20260924233934277|Drive/Pose X|Double|1.333819680180638|c802a09d9f067eb111c0c780abef1e29
20260924233934278|Drive/Pose Y|Double|5.9810664811619025|2982b2ebd961be6383f7016879a478d0
20260924233934391|Drive/Heading|Double|179.9900141161514|9a698415e1922ee0bd36fc51993b075c
20260924233934393|Drive/Pose X|Double|1.2158062010853277|a03bf3812670f7865ded66d4357c3df7
20260924233934394|Drive/Pose Y|Double|5.9810915238650795|bc2e363f4ad04f59befe6dd0271242ea
20260924233934507|Drive/Heading|Double|179.99825386224515|2ffaf6d5399f5eae5ae35ca193c5e200
20260924233934508|Drive/Pose X|Double|1.0996917624718872|6b05380863bd610e56bc67031ebb7f34
20260924233934509|Drive/Pose Y|Double|5.981104551036566|625f70f624f15b5a62bf3a5a35fff14b
20260924233934624|Drive/Heading|Double|-179.9935063916611|7ee8415b828553d1032336ed4d73b714
20260924233934625|Drive/Pose X|Double|0.9858801851760213|e0eb6acd83fdc4b6b63ebeb5e527fb0b
20260924233934625|Drive/Pose Y|Double|5.981097642688358|737a36e77dab0a5b31d7f97a123bd299
20260924233934738|Drive/Heading|Double|-179.98801322759863|432364a0d897f394d5a2360054e52a9c
20260924233934739|Drive/Pose X|Double|0.869471068503951|7fc625dc446ef80a41af18e7a78dbead
20260924233934740|Drive/Pose Y|Double|5.981077754802525|80249a0ce3b0111f0e7193add3bc3c0b
